City,Location_Info,State,District,Subdistrict,Division,Union_Territory,Autonomous_Division
"Tis Hazari Courts, Delhi","['Tis Hazari District Courts', 'Bhiku Ram Jain Marg', 'Civil Lines', 'Civil Lines Tehsil', 'Central Delhi District', 'Delhi', '110054', 'India']",,Central Delhi District,,,,
Bangalore,"['Bengaluru', 'Bangalore North', 'Bengaluru Urban District', 'Karnataka', 'India']",,Bengaluru Urban District,,,,
Bhi,"['A. B. Shaha Path', 'Erandwana', 'Pune City', 'Pune District', 'Maharashtra', '411004', 'India']",,Pune District,,,,
"Chandigarh, New Delhi",['Could not find data'],,,,,,
Kuzhur Grama Panchayat,['Could not find data'],,,,,,
Chavakkad,"['Chavakkad', 'Thrissur District', 'Kerala', 'India']",,Thrissur District,,,,
Nanjangu,['Could not find data'],,,,,,
Alang,"['Alang', 'Talaja Taluka', 'Bhavnagar District', 'Gujarat', '364081', 'India']",,Bhavnagar District,,,,
Tiruchengode,"['Tiruchengode', 'Namakkal District', 'Tamil Nadu', 'India']",,Namakkal District,,,,
Calcutta,"['Kolkata', 'Kolkata District', 'West Bengal', '700073', 'India']",,Kolkata District,,,,
Palai,"['PCT Apartments', 'Murikumpuzha', 'Palai', 'Kottaramattom', 'Murikkumpuzha', 'Meenachil', 'Kottayam District', 'Kerala', '686575', 'India']",,Kottayam District,,,,
"Bhubaneswar, Cuttack","['Hi Tech Medical College', 'Bhubaneswar', 'Cuttack - Puri Bypass Road', 'Ward 18', 'North Zone', 'Bhubaneswar Municipal Corporation', 'Bhubaneswar (M.Corp.)', 'Khordha District', 'Odisha', '751025', 'India']",,Khordha District,,,,
Guwahati,"['Guwahati', 'Kamrup Metropolitan District', 'Assam', '781015', 'India']",,Kamrup Metropolitan District,,,,
Greater Hyderabad,['Could not find data'],,,,,,
"Chennai, Madurai","['Line 1: Nagercoil - Chennai Egmore', 'Nilayur - Airport Road', 'Thirupparankundram', 'Madurai', 'Madurai South', 'Madurai District', 'Tamil Nadu', '625005', 'India']",,Madurai District,,,,
Bal,['Could not find data'],,,,,,
"Mumbai, Delhi","['Hotel Fountain', 'India', 'Mumbai Delhi Highway', 'Vasai-Virar', 'Vasai', 'Palghar District', 'Maharashtra', '401107', 'India']",,Palghar District,,,,
"Central City, Koch",['Could not find data'],,,,,,
Cuttack,"['Cuttack', 'Cuttack (M.Corp.) P.S', 'Cuttack District', 'Odisha', '753001', 'India']",,Cuttack District,,,,
Habshiguda,['Could not find data'],,,,,,
"Sakthan Thampuran Nagar, Thriss",['Could not find data'],,,,,,
"Allahabad, Lucknow Bench",['Could not find data'],,,,,,
Lajpat Nagar,['Could not find data'],,,,,,
Kolar Town,"['Kolar Gold Fields', 'Kolar Gold Field taluk', 'Kolar District', 'Karnataka', '563115', 'India']",,Kolar District,,,,
Banpur,['Could not find data'],,,,,,
Bhopal,"['Bhopal', 'Huzur Tahsil', 'Bhopal District', 'Madhya Pradesh', '462001', 'India']",,Bhopal District,,,,
Ambattur,"['Ambattur', 'Thiruvallur District', 'Tamil Nadu', 'India']",,Thiruvallur District,,,,
Sagar,"['Sagar', 'Sagar District', 'Madhya Pradesh', 'India']",,Sagar District,,,,
"Mahendrapatti, Neithavasal",['Could not find data'],,,,,,
Rajkot,"['Rajkot', 'Rajkot Taluka', 'Rajkot District', 'Gujarat', '360001', 'India']",,Rajkot District,,,,
Jabalpur,"['Jabalpur', 'Ranjhi Tahsil', 'Jabalpur District', 'Madhya Pradesh', 'India']",,Jabalpur District,,,,
Rohini,['Could not find data'],,,,,,
Baroda,"['Vadodara', 'Vadodara Taluka', 'Vadodara District', 'Gujarat', '390001', 'India']",,Vadodara District,,,,
Madras,"['Chennai', 'Chennai District', 'Tamil Nadu', '600001', 'India']",,Chennai District,,,,
Kochi,"['Kochi', 'Ernakulam District', 'Kerala', '682001', 'India']",,Ernakulam District,,,,
Gurgaon,"['Gurugram District', 'Haryana', 'India']",,Gurugram District,,,,
Parappanangadi,['Could not find data'],,,,,,
"New Delhi, Gautam Nagar","['GIS Consortium India Private Limited', 'H-112', 'Delhi - Meerut Expressway', 'Sector 63', 'Noida', 'Dadri', 'Gautam Buddha Nagar District', 'Uttar Pradesh', '201301', 'India']",,Gautam Buddha Nagar District,,,,
Jaipur Metropolitan,"['District and Sessions Court Jaipur Metro', 'Kabir Marg', 'Barodia Scheme', 'Bani Park', 'Jaipur', 'Jaipur Municipal Corporation', 'Jaipur Tehsil', 'Jaipur District', 'Rajasthan', '302006', 'India']",,Jaipur District,,,,
Vadodara,"['Vadodara', 'Vadodara Taluka', 'Vadodara District', 'Gujarat', '390001', 'India']",,Vadodara District,,,,
Nagpur,"['Nagpur Urban Taluka', 'Nagpur District', 'Maharashtra', 'India']",,Nagpur District,,,,
Allahabad,"['Prayagraj', 'Prayagraj District', 'Uttar Pradesh', '211001', 'India']",,Prayagraj District,,,,
Bhadravathi,"['Bhadravathi', 'Bhadravati taluk', 'Shimoga District', 'Karnataka', '577300', 'India']",,Shimoga District,,,,
Kadodara,"['Kadodara Care Hospital', 'NH48', 'Palsana Taluka', 'Surat District', 'Gujarat', '394327', 'India']",,Surat District,,,,
Pune,['Could not find data'],,,,,,
Jamshedpur,"['Jamshedpur', 'Golmuri-Cum-Jugsalai', 'East Singhbhum District', 'Jharkhand', '831001', 'India']",,East Singhbhum District,,,,
"Karikili Village, Nelvoy Post, Mad",['Could not find data'],,,,,,
Kolkata,"['Kolkata', 'Kolkata District', 'West Bengal', '700073', 'India']",,Kolkata District,,,,
Peruvannamuzhi,"['Peruvannamuzhi', 'Koyilandi', 'Kozhikode District', 'Kerala', '673528', 'India']",,Kozhikode District,,,,
Bilaspur,"['Bilaspur', 'Airport Road', 'Bilha Tahsil', 'Bilaspur District', 'Chhattisgarh', '495224', 'India']",,Bilaspur District,,,,
Ramtek,"['Ramtek', 'NH753', 'Mansar', 'Ramtek Taluka', 'Nagpur District', 'Maharashtra', '441406', 'India']",,Nagpur District,,,,
Hubli-Dharwar,"['Rayapur', 'Dharawada taluku', 'Dharwad District', 'Karnataka', '580029', 'India', 'IOCL Navalur Depot (Hubli Depot)']",,Dharwad District,,,,
Jammu,"['Jammu', 'Jammu District', 'Jammu and Kashmir', '180001', 'India']",,Jammu District,,,,
Tis Hazari,"['Tis Hazari', 'Tis Hazari Metro Station', 'Lala Hardev Sahai Marg', 'Civil Lines', 'Civil Lines Tehsil', 'Central Delhi District', 'Delhi', '110006', 'India']",,Central Delhi District,,,,
"Delhi, New Delhi",['Could not find data'],,,,,,
Vav,"['Vav', 'Vav Taluka', 'Banaskantha District', 'Gujarat', '385575', 'India']",,Banaskantha District,,,,
Tis Hazari Courts,['Could not find data'],,,,,,
Udaipur,"['Udaipur', 'Girwa Tehsil', 'Udaipur District', 'Rajasthan', '313001', 'India']",,Udaipur District,,,,
Kalpakkam,"['Kalpakkam', 'Tirukalukundram', 'Chengalpattu District', 'Tamil Nadu', '603102', 'India']",,Chengalpattu District,,,,
Nalsarovar (West) Range,['Could not find data'],,,,,,
Sultanpur,"['Sultanpur', 'Sultanpur District', 'Uttar Pradesh', 'India']",,Sultanpur District,,,,
Chandigar,['Could not find data'],,,,,,
Chintamani Rural Police Station,['Could not find data'],,,,,,
"Hyderabad, Secunderabad",['Could not find data'],,,,,,
Bet,['Could not find data'],,,,,,
Dhanera,"['Dhanera', 'Dhanera Taluka', 'Banaskantha District', 'Gujarat', '385310', 'India']",,Banaskantha District,,,,
Mangalore,"['Mangaluru', 'Mangaluru taluk', 'Dakshina Kannada District', 'Karnataka', '575001', 'India']",,Dakshina Kannada District,,,,
Burhanpur,"['Burhanpur', 'Burhanpur Nagar Tahsil', 'Burhanpur District', 'Madhya Pradesh', '450331', 'India']",,Burhanpur District,,,,
Poonamallee,"['Poonamallee', 'Thiruvallur District', 'Tamil Nadu', 'India']",,Thiruvallur District,,,,
Mahuva,"['Mahuva', 'Mahuva Taluka', 'Bhavnagar District', 'Gujarat', '364290', 'India']",,Bhavnagar District,,,,
Jajpur,"['Jajpur', 'Jajapur', 'Jajpur District', 'Odisha', '755001', 'India']",,Jajpur District,,,,
Anakapalli,"['Anakapalli -  Visakhapatnam - Anandapuram Main Road', 'Lankelapalem', 'Paravada', 'Anakapalli District', 'Andhra Pradesh', '530053', 'India']",,Anakapalli District,,,,
